id,sourceLang,targetLang,sourceString,targetString
1,en,cx_PH,1918 flu,trangkaso niadtong 1918
2,en,cx_PH,acute bronchitis,grabe nga bronchitis
3,en,cx_PH,acute respiratory disease,grabe nga sakit sa respiratory
4,en,cx_PH,AIDS,AIDS
5,en,cx_PH,airborne droplets,tulo nga dala sa hangin
6,en,cx_PH,airway,agianan sa hangin
7,en,cx_PH,alcohol-based,nakabase sa alkohol
8,en,cx_PH,alcohol-based hand rub,panlimpyo sa kamot nga nakabase sa alkohol
9,en,cx_PH,alcohol-based hand sanitizer,panlimpyo sa kamot nga nakabase sa alkohol
10,en,cx_PH,alveolar disease,sakit sa alveolar
11,en,cx_PH,an epidemic,usa ka epidemya
12,en,cx_PH,annual flu,tinuig nga trangkaso
13,en,cx_PH,anti-inflammatory drug,kontra-panghubag nga tambal
14,en,cx_PH,antiviral drug,kontra-viral nga tambal
15,en,cx_PH,antiviral treatment,kontra-viral nga pagtambal
16,en,cx_PH,assay,pagtuki
17,en,cx_PH,asymptomatic,wala’y simtomas
18,en,cx_PH,avian flu,trangkaso sa langgam
19,en,cx_PH,Black Plague,Itom nga katalagman
20,en,cx_PH,blood pressure,presyon sa dugo
21,en,cx_PH,body fluid,pluwido sa lawas
22,en,cx_PH,breathing,pagginhawa
23,en,cx_PH,bubonic plague,Itom nga paghampak
24,en,cx_PH,c19,c19
25,en,cx_PH,cv19,cv19
26,en,cx_PH,case fatality rate,pagbanabana sa kaso sa pagkamatay
27,en,cx_PH,causative agent,hinungdan
28,en,cx_PH,CDC,Mga Sentro alang sa Pagpugong sa Sakit
29,en,cx_PH,chemical disinfection,disimpeksyon sa kemikal
30,en,cx_PH,chest x-ray,x-ray sa dughan
31,en,cx_PH,clinical diagnosis,pagdayagnos sa klinika
32,en,cx_PH,clinical trial,klinikal nga pagsulay
33,en,cx_PH,close contact,duol nga kontak
34,en,cx_PH,cvirus,cvirus
35,en,cx_PH,chronic respiratory disease,kanunay nga pagkasakit sa respiratory
36,en,cx_PH,common cold,kasagaran nga sip-on
37,en,cx_PH,common flu,kasagaran nga trangkaso
38,en,cx_PH,communicable disease,makatakod nga sakit
39,en,cx_PH,community spread,pagkaylap sa komunidad
40,en,cx_PH,community transmission,pagtakod sa komunidad
41,en,cx_PH,compromised immune system,nakompromiso sa naandang systema sa lawas
42,en,cx_PH,contagion,panagsumpaki
43,en,cx_PH,contagious,makatakod
44,en,cx_PH,contagiousness,ang pagka-makatakod
45,en,cx_PH,corona,corona
46,en,cx_PH,corona virus,corona virus
47,en,cx_PH,corona virus epidemic,epidemya sa corona virus
48,en,cx_PH,corona virus outbreak,pag-ulbo sa corona virus
49,en,cx_PH,corona virus scare,kahadlok sa corona virus
50,en,cx_PH,coronavirus,coronavirus
51,en,cx_PH,coronavirus cases,mga kaso sa coronavirus
52,en,cx_PH,coronavirus outbreak,pag-ulbo sa coronavirus
53,en,cx_PH,coronavirus pandemic,pandemya sa coronavirus
54,en,cx_PH,coronavirus scare,kahadlok sa coronavirus
55,en,cx_PH,cough,ubo
56,en,cx_PH,cough etiquette,pamatasan sa pag-ubo
57,en,cx_PH,coughing,pag-ubo
58,en,cx_PH,cov 19,cov 19
59,en,cx_PH,cov19,cov19
