id,sourceLang,targetLang,sourceString,targetString
1,en,mg_MG,1918 flu,Gripa 1918
2,en,mg_MG,acute bronchitis,areti-tratra mahery vaika
3,en,mg_MG,acute respiratory disease,fahasemporana mahery vaika
4,en,mg_MG,AIDS,SIDA
5,en,mg_MG,airborne droplets,piti-drora eny amin'ny rivotra
6,en,mg_MG,airway,lalan-drivotra
7,en,mg_MG,alcohol-based,vita amin'ny alikaola
8,en,mg_MG,alcohol-based hand rub,fikosehan-tanana vita amin'ny alikaola
9,en,mg_MG,alcohol-based hand sanitizer,fanadiovana tanana vita amin'ny alikaola
10,en,mg_MG,alveolar disease,aretina mifindra amin'ny alalan'ny rivotra
11,en,mg_MG,an epidemic,areti-mifindra
12,en,mg_MG,annual flu,gripa isan-taona
13,en,mg_MG,anti-inflammatory drug,fanafody manohitra ny fitaran'ny aretina
14,en,mg_MG,antiviral drug,fanafody mamono ny tsimokaretina
15,en,mg_MG,antiviral treatment,fitsaboana mamono ny tsimokaretina
16,en,mg_MG,assay,fitsirihina
17,en,mg_MG,asymptomatic,tsy ahitana famantarana
18,en,mg_MG,avian flu,gripa mifindra amin'ny alalan'ny rivotra
19,en,mg_MG,Black Plague,Pesta mainty
20,en,mg_MG,blood pressure,tosi-drà
21,en,mg_MG,body fluid,tsiranoka avy amin'ny vatan'olom-belona
22,en,mg_MG,breathing,mifoka rivotra
23,en,mg_MG,bubonic plague,pesta
24,en,mg_MG,c19,c19
25,en,mg_MG,cv19,cv19
26,en,mg_MG,case fatality rate,taham-pahafatesan'ny olona marary
27,en,mg_MG,causative agent,mpitondra aretina
28,en,mg_MG,CDC,CDC
29,en,mg_MG,chemical disinfection,fanafody simika famonoana mikraoba
30,en,mg_MG,chest x-ray,radio fitiliana ny tratra
31,en,mg_MG,clinical diagnosis,fitiliana klinika
32,en,mg_MG,clinical trial,fitsapana klinika
33,en,mg_MG,close contact,fifaneraserana akaiky
34,en,mg_MG,cvirus,tsimokaretina
35,en,mg_MG,chronic respiratory disease,areti-tratra mitaiza
36,en,mg_MG,common cold,sery tsotra
37,en,mg_MG,common flu,gripa tsotra
38,en,mg_MG,communicable disease,aretina azo amin'ny fifaneraserana
39,en,mg_MG,community spread,fiparitahana eo amin'ny fiaraha-monina
40,en,mg_MG,community transmission,fifindrany eo amin'ny fiaraha-monina
41,en,mg_MG,compromised immune system,hery fiarovana malemy
42,en,mg_MG,contagion,fifindran'ny aretina
43,en,mg_MG,contagious,mifindra
44,en,mg_MG,contagiousness,tahan'ny fifindrany
45,en,mg_MG,corona,corona
46,en,mg_MG,corona virus,tsimokaretina corona
47,en,mg_MG,corona virus epidemic,fiparitahan'ny tsimokaretina corona
48,en,mg_MG,corona virus outbreak,valan'aretina corona
49,en,mg_MG,corona virus scare,horohoro noho ny tsimokaretina corona
50,en,mg_MG,coronavirus,coronavirus
51,en,mg_MG,coronavirus cases,voan'ny coronavirus
52,en,mg_MG,coronavirus outbreak,valan'aretina coronavirus
53,en,mg_MG,coronavirus pandemic,valan'aretina miparitaka coronavirus
54,en,mg_MG,coronavirus scare,horohoro noho ny coronavirus
55,en,mg_MG,cough,kohoka
56,en,mg_MG,cough etiquette,falalam-pomba rehefa mikohoka
57,en,mg_MG,coughing,kohoka
58,en,mg_MG,cov 19,cov 19
59,en,mg_MG,cov19,cov19
60,en,mg_MG,COVID,COVID
61,en,mg_MG,COVID-19 crisis,Krizy ateraky ny COVID-19
62,en,mg_MG,covid-19,covid-19
63,en,mg_MG,covid19,covid19
64,en,mg_MG,COVID-19 epidemic,Areti-mifindra COVID-19
65,en,mg_MG,COVID-19 outbreak,Valan'aretina COVID-19
66,en,mg_MG,COVID-19 pandemic,Valan'aretina miparitaka COVID-19
67,en,mg_MG,COVID 19,COVID 19
68,en,mg_MG,current crisis,krizy amin'izao fotoana izao
69,en,mg_MG,current health crisis,olana ara-pahasalamana amin'izao fotoana izao
