id,sourceLang,targetLang,sourceString,targetString
1,en,ro_RO,1918 flu,gripa din 1918
2,en,ro_RO,acute bronchitis,bronșită acută
3,en,ro_RO,acute respiratory disease,boală acută a aparatului respirator
4,en,ro_RO,AIDS,SIDA
5,en,ro_RO,airborne droplets,picături purtate de aer
6,en,ro_RO,airway,cale respiratorie
7,en,ro_RO,alcohol-based,pe bază de alcool
8,en,ro_RO,alcohol-based hand rub,soluție dezinfectantă pe bază de alcool
9,en,ro_RO,alcohol-based hand sanitizer,dezinfectant de mâini pe bază de alcool
10,en,ro_RO,alveolar disease,boală alveolară
11,en,ro_RO,an epidemic,epidemie
12,en,ro_RO,annual flu,gripă sezonieră
13,en,ro_RO,anti-inflammatory drug,medicament antiinflamator
14,en,ro_RO,antiviral drug,medicament antiviral
15,en,ro_RO,antiviral treatment,tratament antiviral
16,en,ro_RO,assay,prelevarea unei probe
17,en,ro_RO,asymptomatic,asimptomatic
18,en,ro_RO,avian flu,gripă aviară
19,en,ro_RO,Black Plague,ciumă neagră
20,en,ro_RO,blood pressure,tensiune arterială
21,en,ro_RO,body fluid,fluid biologic
22,en,ro_RO,breathing,respirație
23,en,ro_RO,bubonic plague,ciumă bubonică
24,en,ro_RO,c19,c19
25,en,ro_RO,cv19,cv19
26,en,ro_RO,case fatality rate,rată de fatalitate a cazurilor
27,en,ro_RO,causative agent,agent patogen
28,en,ro_RO,CDC,CDC
29,en,ro_RO,chemical disinfection,dezinfectare chimică
30,en,ro_RO,chest x-ray,radiografie toracică
31,en,ro_RO,clinical diagnosis,diagnostic clinic
32,en,ro_RO,clinical trial,studiu clinic
33,en,ro_RO,close contact,contact apropiat
34,en,ro_RO,cvirus,cvirus
35,en,ro_RO,chronic respiratory disease,boală cronică a aparatului respirator
36,en,ro_RO,common cold,răceală comună
37,en,ro_RO,common flu,gripă comună
38,en,ro_RO,communicable disease,boală transmisibilă
39,en,ro_RO,community spread,răspândire comunitară
40,en,ro_RO,community transmission,transmitere comunitară
41,en,ro_RO,compromised immune system,sistem imunitar compromis
42,en,ro_RO,contagion,contaminare
43,en,ro_RO,contagious,contagios
44,en,ro_RO,contagiousness,contagiozitate
45,en,ro_RO,corona,corona
46,en,ro_RO,corona virus,coronavirus
47,en,ro_RO,corona virus epidemic,epidemie de coronavirus
48,en,ro_RO,corona virus outbreak,focar de coronavirus
49,en,ro_RO,corona virus scare,teamă de coronavirus
50,en,ro_RO,coronavirus,coronavirus
51,en,ro_RO,coronavirus cases,cazuri de coronavirus
52,en,ro_RO,coronavirus outbreak,focar de coronavirus
53,en,ro_RO,coronavirus pandemic,pandemie de coronavirus
54,en,ro_RO,coronavirus scare,teamă de coronavirus
55,en,ro_RO,cough,tuse
56,en,ro_RO,cough etiquette,etichetă în caz de tuse
57,en,ro_RO,coughing,tuse
58,en,ro_RO,cov 19,cov 19
59,en,ro_RO,cov19,cov19
60,en,ro_RO,COVID,COVID
61,en,ro_RO,COVID-19 crisis,criză COVID-19
62,en,ro_RO,covid-19,covid-19
63,en,ro_RO,covid19,covid19
64,en,ro_RO,COVID-19 epidemic,epidemie de COVID-19
65,en,ro_RO,COVID-19 outbreak,focar de COVID-19
66,en,ro_RO,COVID-19 pandemic,pandemie de COVID-19
67,en,ro_RO,COVID 19,COVID 19
68,en,ro_RO,current crisis,criză actuală
69,en,ro_RO,current health crisis,criză medicală actuală
70,en,ro_RO,current outbreak,epidemie actuală
71,en,ro_RO,current pandemic,pandemie actuală
72,en,ro_RO,CV,CV
73,en,ro_RO,CV-19,CV-19
74,en,ro_RO,deadly,letal
75,en,ro_RO,deadly virus,virus letal
76,en,ro_RO,death rate,rata mortalității
77,en,ro_RO,death toll,numărul deceselor
78,en,ro_RO,decontaminate,decontaminare
79,en,ro_RO,detectable,detectabil
80,en,ro_RO,detergent,detergent
81,en,ro_RO,difficulty breathing,dificultăți de respirație
